epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6749,2.26657,3.12023,1.28006,0.143,0.19145,0.1082,0.04722,2.06473,3.09581,1.58472,0.000330935,0.000330935,0.000330935
2,26.2379,2.18397,2.20484,1.21904,0.1848,0.2588,0.13569,0.05316,2.17741,3.10485,1.68495,0.00066098,0.00066098,0.00066098
3,38.5791,2.13289,2.07159,1.19306,0.18693,0.28948,0.13936,0.05614,2.16703,3.3315,1.66009,0.000987726,0.000987726,0.000987726
4,50.8203,2.1012,1.98688,1.19345,0.22974,0.2863,0.16498,0.0718,2.15183,2.94328,1.56595,0.00098515,0.00098515,0.00098515
5,63.2483,2.04099,1.90282,1.17294,0.26631,0.30038,0.19277,0.07949,2.09282,2.91857,1.60439,0.0009802,0.0009802,0.0009802
6,75.4156,2.02703,1.86515,1.18283,0.34299,0.28916,0.23493,0.09945,2.13496,2.57006,1.71252,0.00097525,0.00097525,0.00097525
7,87.813,2.01098,1.78928,1.15693,0.34603,0.28224,0.23865,0.10334,2.07879,2.42995,1.6151,0.0009703,0.0009703,0.0009703
8,107.792,1.98509,1.80869,1.15498,0.31417,0.30809,0.25448,0.11343,2.02432,2.35245,1.491,0.00096535,0.00096535,0.00096535
9,137.326,1.95576,1.72837,1.13479,0.29297,0.34059,0.22549,0.10299,2.01247,2.63562,1.52639,0.0009604,0.0009604,0.0009604
10,166.287,1.96895,1.69708,1.1458,0.29588,0.33576,0.23129,0.10417,2.04523,2.46699,1.58403,0.00095545,0.00095545,0.00095545
11,187.512,1.9478,1.68617,1.13997,0.36952,0.31383,0.2634,0.12028,1.98267,2.2653,1.53049,0.0009505,0.0009505,0.0009505
12,199.947,1.9423,1.65254,1.1346,0.35424,0.39463,0.28674,0.12752,1.99175,2.273,1.53019,0.00094555,0.00094555,0.00094555
13,212.197,1.91737,1.62384,1.12385,0.35934,0.35342,0.25833,0.11552,1.9713,2.70427,1.52464,0.0009406,0.0009406,0.0009406
14,223.92,1.90124,1.63485,1.13241,0.36744,0.31207,0.27727,0.12046,2.04797,2.27864,1.61218,0.00093565,0.00093565,0.00093565
15,236.051,1.893,1.59493,1.12295,0.40925,0.32179,0.31144,0.13735,2.02886,2.12284,1.53185,0.0009307,0.0009307,0.0009307
16,248.419,1.91928,1.59684,1.12216,0.38658,0.28963,0.26956,0.12149,1.98726,2.28431,1.46787,0.00092575,0.00092575,0.00092575
17,260.762,1.88855,1.57568,1.12952,0.39071,0.34871,0.31432,0.15122,1.91634,2.11899,1.49239,0.0009208,0.0009208,0.0009208
18,273.047,1.87279,1.58483,1.11739,0.30166,0.37097,0.25874,0.11533,1.9551,2.38485,1.51352,0.00091585,0.00091585,0.00091585
19,284.85,1.88421,1.54373,1.10559,0.37713,0.39906,0.30284,0.14334,1.89634,2.15594,1.45954,0.0009109,0.0009109,0.0009109
20,297.017,1.85742,1.52047,1.09833,0.44374,0.36319,0.33378,0.16416,1.89921,2.064,1.45061,0.00090595,0.00090595,0.00090595
21,309.292,1.81512,1.48106,1.08908,0.2888,0.39583,0.28474,0.13534,1.89972,2.52156,1.49417,0.000901,0.000901,0.000901
22,321.394,1.84395,1.48703,1.08381,0.36162,0.33103,0.29174,0.13437,1.96323,2.20818,1.54899,0.00089605,0.00089605,0.00089605
23,333.569,1.84175,1.50782,1.09449,0.37684,0.37066,0.3025,0.13903,1.96152,2.20752,1.49973,0.0008911,0.0008911,0.0008911
